Label,Claim
0,What Does Koko the Gorilla Know About Climate Change?
1,Did Kim Kardashian Wear Mirrored Sunglasses at a Poker Tournament?
1,Does a Video Show a Trump Burger Restaurant in Texas?
0,Ghazala Khan's Hijab Was a Political Stunt
0,"In the 2018 Florida governor's race ""votes were being stolen by the corrupt election process in Broward. … I sent in the FBI and the U.S. Attorneys, and the ballot theft immediately ended. … I stopped his Election from being stolen."""
1,"Says John Bolton supported the Iraq War and said last year that ""I still think the decision to overthrow Saddam was correct."""
0,Did a Florida Chinese Restaurant's Sign Read 'F*** DeSantis'?
0,"No, This Video Doesn't Show Actors Posing as 'Dead Rona Bodies for the News'"
1,"""Miller Brewing is not a U.S. company any more. Neither is Anheuser-Busch."""
0,Did the Koch Brothers Buy NPR?
1,"Sen. Harry Reid voted ""against declaring English our national language, twice."""
0,"Scientists Miscalculate, Solar Eclipse Actually Next Year?"
0,Was a Holistic Doctor Killed by Police for Working Against 'Big Pharma'?
1,"""Trump Management was charged with discriminating against African-Americans and breaking federal law."""
0,Trump Caught Tweeting at Mar-a-Lago?
1,Were Clips of Tucker Carlson Being Aired on Russian TV?
0,Did a University Ban Capital Letters To Avoid Scaring Students?
1,"Republicans “have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more, even in the middle of this public health crisis."""
0,Did the Green Bay Packers Coach Just 'Piss Off' His 'Racist' Players With What He Put on the Field?
1,"Farm bankruptcies are ""at an eight-year high."""
0,Was Musician Kodak Black Shot in Florida?
1,Is the Rainbow LGBTQ+ Lego Set Real?
0,Can Trump Designate Antifa as a 'Terrorist Organization'?
1,"""The Dallas Cowboys can’t put a sticker on their helmets for the 5 police officers who were killed."""
0,Muslim Man Slaps Christian Woman
1,Did Trump's 2020 Campaign Publish a Heavily Slanted 'Trump vs Democrat' Poll?
1,Does the White House Want to Turn the International Space Station into a Commercial Venture?
0,Did ALDI Remove the Cross from Their Hot Cross Buns to Appease Other Religions?
0,Is 'I Took an Arrow in the Knee' Slang for Getting Married?
0,"""Special Forces arrest Deep State Dr. Anthony Fauci."""
1,Says Austin Mayor Lee Leffingwell voted for a toll lane on MoPac.
1,Was a Detroit Firefighter Fired for Bringing a Watermelon to His Station?
1,Did Experts and Officials Warn in 2018 US Couldn't Respond Effectively to a Pandemic?
0,Did a Huge Shark Wash Up on a North Carolina Beach?
0,Was George Soros Arrested in Switzerland in February 2019?
1,"Says Rep. John Katko ""promised he wouldn’t vote to defund Planned Parenthood and since he’s been in office he’s done that four times"""
0,Is LA Sheriff's Dept. 'Forcibly Vaccinating' People With Special Needs?
1,"Newt Gingrich ""has suggested"" building ""a mirror system in space"" could improve the Earth’s habitability."
1,"""Torture is illegal by our laws. It's illegal by international laws."""
1,"Is Trump Campaign Auto-Checking A ""Recurring Donation"" Option That Ends in December?"
1,"""We are making the largest investment in education in our nation’s history."""
1,Free Iced Coffee Day at Dunkin' Donuts
1,The Longest Total Lunar Eclipse of the 21st Century Will Occur on July 27
1,Was an Elderly Nevada Couple Shot Dead by an Undocumented Immigrant?
0,A 2018 executive order gives Trump the ability to impose martial law
0,Did Oreo Tweet 'Eat the Rich'?
0,"With $40B, Could Musk Have Given $1M to Every Person in the US Instead of Buying Twitter?"
1,Do Black Starbucks Aprons Have a Different Meaning Than Green Ones?
0,Woman Mistaken for Clown Shot and Killed in Walmart Parking Lot
1,Does This Photograph Show a Praying Mantis Attacking a Hummingbird?
1,"""Every single month since 1985 has been warmer than the historic average. All 12 of the warmest years on record have come in the last 15 years."""
0,"Is President Trump Sending $4,106 to Everyone Over Age 65?"
0,"Are 'Zombies' Visible at Google Maps 65.0929814,28.9031617?"
1,The Republican Party has not won a presidential election without either a Bush or a Nixon on the ticket since 1928.
1,"In the Illinois Legislature, Barack Obama ""voted 'present,' instead of yes or no"" on seven votes involving abortion rights."
0,Are Children Being Assigned Numbers in Detention Centers?
1,Is This 'Shaun of the Dead' Meme Mocking Real Ohio Protesters?
0,Michelle Obama Never Placed Her Hand Over Her Heart During the National Anthem?
0,Was a Man Hospitalized After His Apple Airpods Exploded in His Ear?
1,"In a now-viral video, ""impressionable youngsters at a public school in New Jersey ... have been instructed to sing the praises of 'Barack Hussein Obama.'"""
0,Syrian War Victims Are Being 'Recycled' and Al Quds Hospital Was Never Bombed?
1,"""January through November 2014, the year so far, were the hottest first 11 months of any year recorded."""
0,Is 'Angels with Filthy Souls' a Real Movie?
1,"""There has not been a Democratic woman in Congress from New Jersey in almost four decades."""
0,"No, George W. Bush Has Not Been Arrested by Special Forces"
0,Is Facebook Taking Down a Photograph Showing the Burial of Korean War Remains?
1,"""I was one of about a dozen (senators) who voted against the Bridge to Nowhere."""
0,Did a Woman Make Her Cheating Husband Eat His Own Genitals?
0,"Says Hillary Clinton said, ""This planet might be able to support perhaps as many as half of a billion people who could live a sustainable life in relative comfort. Human populations must be greatly diminished, and as quickly as possible to limit further environmental damage."""
0,"No, Louisiana Did Not Send 2,000 Alligators to Texas Border"
0,The COVID-19 vaccine is the “deadliest vaccine ever made.”
0,Are Casino Tokens Donated to Churches Redeemed by Catholic 'Chip Monks'?
0,Is George Soros Facing Prison Over $1.8 Billion in 'Intercepted' Campaign Contributions?
1,Could a Case Currently Before the Supreme Court Result in a Stronger Presidential Pardon?
1,The Body Under the Bed
1,Does Uranus Smell Like Farts?
1,Did Donald Trump Register 'Make America Great Again' in 2012?
1,"The Baucus bill ""contains provisions that would send massive federal subsidies directly to both private insurance plans and government-chartered cooperatives that pay for elective abortion."""
1,Did Biden Rely on 'Cheat Sheet' During His First Press Conference?
1,Hillary Clinton Kissed by Former Klan Member
0,Triton 'Tankless' Scuba Mask -- Real or Vaporware?
1,Did LeBron James Condemn Columbus Cop Who Killed Ma'Khia Bryant?
1,Nutz R Us
1,"""The actual deportations from the interior of the country are way down"" under President Obama."
0,"No, a Photo Doesn't Show Biden's Feet Missing"
1,The Georgia Secretary of State's Office and the Georgia State Elections Board investigate and penalize hundreds of people guilty of election fraud.
0,Hippo Eats Dwarf
1,Is Trump the First President in 100 Years Not To Have a Dog?
0,Did a Gay Baboon Terrorize an African Village?
1,"""Abraham Lincoln (once) jumped out of a window in the Illinois Legislature in order to deny a quorum."""
1,Was a GoFundMe Page Established for Brett Kavanaugh?
1,"Says ""in the Legislature, (Mary Nolan) has been a party-line Democrat, showing a 100% track record in harmony with the American Civil Liberties Union."""
1,Free Krispy Kreme Doughnuts for Pirates on September 19
1,Do Veterans Get Free Access to National Parks?
0,“Evidence growing that fascist ANTIFA orchestrated Capitol attack with clever mob control tactics.”
0,FALSE: UFO Over CERN
1,Did NASA Fund Theological Research To Study How Humans Would React to Extraterrestrial Life?
1,"Small businesses ""create two out of every three American jobs."""
0,Darboy Walmart Abduction Warning
1,Is Biden Spending $86 Million for Hotels To House Migrant Families?
0,"Are There 69,420 Days Until 4/20/69?"
1,"Says Jon Ossoff ""doesn't even live in (his) district."""
0,"Nancy Pelosi assured Iran that Trump will ""pay for his crimes."""
0,Is the 'Rangers Spot Giant Lion' Story True?
1,"Says he ""sued Obama’s EPA seven times."""
0,Is This Meme About Mandatory COVID-19 Vaccinations Accurate?
0,Is ProtestJobs.com a Real Service for Hiring Protesters?
1,"""The state budget has increased almost $800 million a year in each of the last two years."""
1,Is This a Real Florida License Plate?
1,Do Homeless People Have Access to COVID-19 Stimulus Payments?
0,Did Lettuce Kill More People in the U.S. in 2018 Than Undocumented Immigrants Did?
1,Did Thousands of Cows Die in Kansas Heat Wave?
0,Did Al Gore's Friends Pull Strings To Get His Vietnam Duty Shortened?
1,Do Oreos Have Lady Gaga-Themed Cookies?
1,The Littlest Fireman
1,Beauty Salon Visit Caused Stroke?
0,Anavid Reyes 'Traffic Reporter Meltdown' Video Is a Comedy Sketch
0,"Saudi Arabia: Panel of Scientists Admits Women Are Mammals, Yet ‘Not Human’?"
0,"Ginger Baker Beats Burglars Senseless, Sodomizes One With Walking Stick?"
1,"George Allen voted to add $3 trillion to the federal debt, voted to raise the debt ceiling four times and voted for the No Child Left Behind Act while he was a senator."
1,Did 5 People Die During Jan. 6 Capitol Riot?
1,"Boston is just 60 minutes away and it’s offering subsidies to developers who can charge higher rent than you can get in Providence while construction costs are more or less equal. As a result, the Boston skyline ""is completely dominated by the cranes."""
1,Says only four Texas legislators voted against a law giving in-state tuition rates to certain illegal immigrants.
1,Did a Bear in Florida Use a Woman's Pool After Ripping a Hole in Her Screen?
0,Did Amber Heard Steal 'Talented Mr. Ripley' Lines During Depp Trial?
1,"""Let’s start with the premise that Rhode Island already has one of the 10 strictest [gun laws] amongst all the states."""
1,Did Scientists Detect Cocaine in Freshwater Shrimp?
1,"""This year West Virginia produced more AmeriCorps members than any other state."""
1,"Says Rick Scott changed his promise from 700,000 jobs created ""on top of what normal growth would be"" to just 700,000 jobs."
1,Americans spend 6.1 billion hours a year complying with tax law. It costs us $163 billion to comply with our tax laws annually.
0,Did Rittenhouse's Grandparents Own Gas Station in Kenosha?
