Label,Claim
1,There are twice as many gun shops as McDonald’s in the United States.
1,Did Helen Keller Fly a Plane?
0,"""Since 1978, California has spent $5 billion to put 13 people to death."""
1,"Yes, the Kellogg's Cereal Class Action Lawsuit is Real"
0,"""Across the board, violent crime in jurisdictions that recognize the Right to Carry is lower than in areas that prevent it."""
0,Is This 'Sky Hotel' Real?
0,Did Millions of Anti-Maskers and QAnon Supporters March in Germany?
0,95-item list of food-destroying incidents demonstrates that “you are duped if you think they aren’t planning a food shortage.”
1,The Georgia Lottery paid out $2.3 billion in prizes during the last fiscal year.
0,"Says Kamala Harris ""said she believed that Joe Biden committed sexual assault against various women.”"
1,Is the 'Most Dangerous Garden in the World' a Real Place?
0,“Pat McCrory appointed the ‘Republican’ judge who sided with Democrats in the partisan Democrat lawsuit/power-grab over redistricting.”
1,"Says this month’s special session will cost the state $27,300 a day just for legislators’ daily living expenses."
0,"""ISIS Lays Down Arms After Katy Perry’s Impassioned Plea To ‘Like, Just Co-Exist’"""
0,Did Muslims Demand the Cross Be Removed From the Swiss Flag?
0,A Dominion representative in Gwinnett County improperly downloaded election data to “manipulate the data.”
1,A New Restaurant at Walt Disney World Gives Guests a 'Space' Adventure
0,Did a First Lady Wear a $46K Dress to an Inaugural Ball?
0,"“People are starting to enter ERs with fungal lung infections from wearing masks!!"""
1,Did the Mayor of DC Ban Dancing at Weddings Because of COVID-19?
0,"""If you pass the so-called Dream Act, it will be the single biggest amnesty in the history of the United States, even bigger than the 1986 amnesty."""
0,"A University of Texas ""student pulled out a concealed handgun"" on a knife-wielding suspect ""and made him back down."""
1,Says Georgia Power customers pay 10 percent to 15 percent below the national average for electricity.
0,Did 'No Makeup' Photo of Jennifer Aniston 'Confirm Rumors'?
1,Says Clinton did not read the National Intelligence Estimate before voting for the Iraq war.
0,Is Katie Couric Married to Matt Lauer?
1,"Says ""at the state level we're spending more on tax expenditures than we are on public safety, health care and education combined."""
0,Arnold Schwarzenegger slept on the ground in front of a bronze statue of himself because he had been turned away from a hotel.
0,A CDC study found that “mask mandates made no statistical difference” on coronavirus case rates.
1,Did Salvation Army Ask Followers To Repent and Apologize for Racism?
0,"The Americans for Tax Reform pledge ""relates to new taxes that were going to be initiated by legislative action."""
0,Were 6 Cops Killed in 10 Days at Protests in June 2020?
0,Young Harriet Tubman Photograph
0,"""Now there is a new threat that we’re seeing up close: the risk of exposure to powerful drugs that can kill in even tiny amounts."""
0,Did Broward County Record More Votes Than Registered Voters in November 2018?
0,"Republican politicians are pushing a plan ""that could raise taxes on almost one in three Wisconsinites and sunset Social Security and Medicare in five years."""
1,"Old City in Philadelphia ""used to have more than a dozen clubs and that's what we were known for and now we’re down to two."""
0,Is the Common Household Plant 'Dieffenbachia' Deadly?
0,"Says Bruce Lee said, ""You will continue to suffer if you have an emotional reaction to everything that is said to you. True power is sitting back and observing everything with logic. If words control you that means everyone else can control you. Breathe and allow things to pass."""
